GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AccountSystemLogic,za.ac.nwu.as.logic.flow.impl.acty,FetchAccountTypeFlowImpl,0,27,0,0,0,9,0,5,0,5
AccountSystemLogic,za.ac.nwu.as.logic.flow.impl.acty,CreateAccountTypeFlowImpl,0,20,1,1,0,7,1,2,0,2
AccountSystemLogic,za.ac.nwu.as.logic.flow.impl.acty,ModifyAccountTypeFlowImpl,13,16,1,1,4,5,2,2,1,2
AccountSystemLogic,za.ac.nwu.as.logic.flow.impl.actx,CreateAccountTransactionFlowImpl,0,45,0,0,0,12,0,3,0,3
AccountSystemLogic,za.ac.nwu.as.logic.flow.impl.actx,FetchAccountTransactionFlowImpl,0,37,0,2,0,9,0,4,0,3
AccountSystemLogic,za.ac.nwu.as.logic.flow.impl.acmeb,CreateAccountMemberFlowImpl,0,11,0,0,0,4,0,2,0,2
AccountSystemLogic,za.ac.nwu.as.logic.flow.impl.acmeb,ModifyAccountMemberFlowImpl,14,26,2,2,2,7,2,3,0,3
AccountSystemLogic,za.ac.nwu.as.logic.flow.impl.acmeb,FetchAccountMemberFlowImpl,0,25,0,0,0,8,0,4,0,4
AccountSystemLogic,za.ac.nwu.as.logic.config,LogicConfig,3,0,0,0,1,0,1,0,1,0
AccountSystemLogic,za.ac.nwu.as.logic.flow.impl,Modulo,0,15,0,2,0,4,0,3,0,2
